"","School List","FT Male","FT Female","FT AGI","FT BIPOC","FT Total","FT White","Year","State"
"885","NEW HAMPSHIRE, UNIVERSITY OF",53,32,23,0,108,108,2021,"NEW HAMPSHIRE"
"886","NEW MEXICO, UNIVERSITY OF",45,51,0,38,96,58,2021,"NEW MEXICO"
"887","NEW YORK LAW SCHOOL",119,92,0,39,211,172,2021,"NEW YORK"
"888","NEW YORK UNIVERSITY",248,145,0,66,393,327,2021,"NEW YORK"
"889","NORTH CAROLINA CENTRAL UNIVERSITY",28,43,0,45,71,26,2021,"NORTH CAROLINA"
"890","NORTH CAROLINA, UNIVERSITY OF",69,55,0,13,124,111,2021,"NORTH CAROLINA"
"891","NORTH DAKOTA, UNIVERSITY OF",18,14,0,2,32,30,2021,"NORTH DAKOTA"
"892","NORTHEASTERN UNIVERSITY SCHOOL OF LAW",60,58,2,28,120,92,2021,NA
"893","NORTHERN ILLINOIS UNIVERSITY",26,19,0,11,45,34,2021,"ILLINOIS"
"894","NORTHERN KENTUCKY UNIVERSITY",40,22,0,8,62,54,2021,"KENTUCKY"
"895","NORTHWESTERN UNIVERSITY",137,84,0,33,221,188,2021,"ILLINOIS"
"896","NOTRE DAME, UNIVERSITY OF",76,37,0,14,113,99,2021,"INDIANA"
"897","NOVA SOUTHEASTERN UNIVERSITY",36,39,0,27,75,48,2021,"FLORIDA"
"898","OHIO NORTHERN UNIVERSITY",17,8,0,1,25,24,2021,"OHIO"
"899","OHIO STATE UNIVERSITY",82,54,2,19,138,119,2021,"OHIO"
"900","OKLAHOMA CITY UNIVERSITY",45,36,0,15,81,66,2021,"OKLAHOMA"
"901","OKLAHOMA, UNIVERSITY OF",43,28,0,11,71,60,2021,"OKLAHOMA"
"902","OREGON, UNIVERSITY OF",33,51,0,15,84,69,2021,"OREGON"
"903","PACE UNIVERSITY",78,53,1,17,132,115,2021,"NEW YORK"
"904","PENNSYLVANIA STATE - DICKINSON LAW",29,27,1,17,57,40,2021,"PENNSYLVANIA"
"905","PENNSYLVANIA STATE - PENN STATE LAW",47,24,0,11,71,60,2021,"PENNSYLVANIA"
"906","PENNSYLVANIA, UNIVERSITY OF",160,106,0,62,266,204,2021,"PENNSYLVANIA"
"907","PEPPERDINE UNIVERSITY",77,47,0,29,124,95,2021,"CALIFORNIA"
"908","PITTSBURGH, UNIVERSITY OF",90,51,0,18,141,123,2021,"PENNSYLVANIA"
"909","PONTIFICAL CATHOLIC UNIVERSITY OF P.R.",42,25,0,67,67,0,2021,"PUERTO RICO"
"910","PUERTO RICO, UNIVERSITY OF",62,50,0,112,112,0,2021,"PUERTO RICO"
"911","QUINNIPIAC UNIVERSITY",62,46,0,12,108,96,2021,"CONNECTICUT"
"912","REGENT UNIVERSITY",43,9,0,7,52,45,2021,"VIRGINIA"
"913","RICHMOND, UNIVERSITY OF",69,54,0,16,123,107,2021,"VIRGINIA"
"914","ROGER WILLIAMS UNIVERSITY",46,45,0,15,91,76,2021,"RHODE ISLAND"
"915","RUTGERS UNIVERSITY",86,75,0,34,161,127,2021,"NEW JERSEY"
"916","SAINT LOUIS UNIVERSITY",56,49,0,12,105,93,2021,"MISSOURI"
"917","SAMFORD UNIVERSITY",39,24,0,12,63,51,2021,"ALABAMA"
"918","SAN DIEGO, UNIVERSITY OF",103,61,0,22,164,142,2021,"CALIFORNIA"
"919","SAN FRANCISCO, UNIVERSITY OF",32,35,0,18,67,49,2021,"CALIFORNIA"
"920","SANTA CLARA UNIVERSITY",74,69,0,37,143,106,2021,"CALIFORNIA"
"921","SEATTLE UNIVERSITY",61,61,0,29,122,93,2021,"WASHINGTON"
"922","SETON HALL UNIVERSITY",76,53,0,16,129,113,2021,"NEW JERSEY"
"923","SOUTH CAROLINA, UNIVERSITY OF",70,46,0,14,116,102,2021,"SOUTH CAROLINA"
"924","SOUTH DAKOTA, UNIVERSITY OF",19,10,0,3,29,26,2021,"SOUTH DAKOTA"
"925","SOUTH TEXAS COLLEGE OF LAW HOUSTON",77,48,0,24,125,101,2021,"TEXAS"
"926","SOUTHERN CALIFORNIA, UNIVERSITY OF",82,66,0,25,148,123,2021,"CALIFORNIA"
"927","SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE",18,22,0,4,40,36,2021,"ILLINOIS"
"928","SOUTHERN METHODIST UNIVERSITY",95,47,0,22,142,120,2021,"TEXAS"
"929","SOUTHERN UNIVERSITY",96,91,0,127,187,60,2021,"LOUISIANA"
"930","SOUTHWESTERN LAW SCHOOL",71,68,0,40,139,99,2021,"CALIFORNIA"
"931","ST. JOHN'S UNIVERSITY",94,70,0,26,164,138,2021,"NEW YORK"
"932","ST. MARY'S UNIVERSITY",61,32,0,22,93,71,2021,"TEXAS"
"933","ST. THOMAS UNIVERSITY (FLORIDA)",61,37,0,32,98,66,2021,"FLORIDA"
"934","ST. THOMAS, UNIVERSITY OF (MINNESOTA)",87,59,0,27,146,119,2021,"MINNESOTA"
"935","STANFORD UNIVERSITY",98,84,0,37,182,145,2021,"CALIFORNIA"
"936","STETSON UNIVERSITY",78,83,3,28,164,136,2021,"FLORIDA"
"937","SUFFOLK UNIVERSITY",89,64,0,26,153,127,2021,"MASSACHUSETTS"
"938","SYRACUSE UNIVERSITY",53,41,0,13,94,81,2021,"NEW YORK"
"939","TEMPLE UNIVERSITY",109,89,0,41,198,157,2021,"PENNSYLVANIA"
"940","TENNESSEE, UNIVERSITY OF",52,41,0,13,93,80,2021,"TENNESSEE"
"941","TEXAS A&M UNIVERSITY",59,53,0,20,112,92,2021,"TEXAS"
"942","TEXAS AT AUSTIN, UNIVERSITY OF",195,86,0,34,281,247,2021,"TEXAS"
"943","TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW",31,55,0,71,86,15,2021,NA
"944","TEXAS TECH UNIVERSITY",37,21,0,9,58,49,2021,"TEXAS"
"945","TOLEDO, UNIVERSITY OF",19,14,0,5,33,28,2021,"OHIO"
"946","TOURO UNIVERSITY",49,43,0,16,92,76,2021,"NEW YORK"
"947","TULANE UNIVERSITY",76,41,0,14,117,103,2021,"LOUISIANA"
"948","TULSA, UNIVERSITY OF",24,26,0,10,50,40,2021,"OKLAHOMA"
"949","UNIVERSITY OF BUFFALO-SUNY",55,47,0,8,102,94,2021,"NEW YORK"
"950","UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",132,92,0,42,224,182,2021,"CALIFORNIA"
"951","UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW",109,86,0,50,195,145,2021,"ILLINOIS"
"952","UNIVERSITY OF MASSACHUSETTS DARTMOUTH",30,18,0,7,48,41,2021,"MASSACHUSETTS"
"953","UNIVERSITY OF NEVADA - LAS VEGAS",44,37,0,17,81,64,2021,"NEVADA"
"954","UTAH, UNIVERSITY OF",48,46,0,18,94,76,2021,"UTAH"
"955","VANDERBILT UNIVERSITY",74,47,0,16,121,105,2021,"TENNESSEE"
"956","VERMONT LAW SCHOOL",63,75,0,12,138,126,2021,"VERMONT"
"957","VILLANOVA UNIVERSITY",56,62,0,17,118,101,2021,"PENNSYLVANIA"
"958","VIRGINIA, UNIVERSITY OF",168,84,0,31,252,221,2021,"VIRGINIA"
"959","WAKE FOREST UNIVERSITY",46,41,0,15,87,72,2021,"NORTH CAROLINA"
"960","WASHBURN UNIVERSITY",39,26,0,8,65,57,2021,"KANSAS"
"961","WASHINGTON AND LEE UNIVERSITY",56,32,0,11,88,77,2021,"VIRGINIA"
"962","WASHINGTON UNIVERSITY",94,68,0,22,162,140,2021,"MISSOURI"
"963","WASHINGTON, UNIVERSITY OF",89,58,0,30,147,117,2021,"WASHINGTON"
"964","WAYNE STATE UNIVERSITY",54,45,0,20,99,79,2021,"MICHIGAN"
"965","WEST VIRGINIA UNIVERSITY",36,26,0,5,62,57,2021,"WEST VIRGINIA"
"966","COOLEY LAW SCHOOL",105,71,0,31,176,145,2021,NA
"967","WESTERN NEW ENGLAND UNIVERSITY",33,37,0,15,70,55,2021,"MASSACHUSETTS"
"968","WESTERN STATE COLLEGE OF LAW",25,22,0,11,47,36,2021,"CALIFORNIA"
"969","WIDENER UNIVERSITY-DELAWARE",41,39,0,9,80,71,2021,"DELAWARE"
"970","WIDENER-COMMONWEALTH",35,27,0,4,62,58,2021,"PENNSYLVANIA"
"971","WILLAMETTE UNIVERSITY",28,26,0,7,54,47,2021,"OREGON"
"972","WILLIAM AND MARY LAW SCHOOL",103,53,0,15,156,141,2021,"VIRGINIA"
"973","WISCONSIN, UNIVERSITY OF",75,62,0,23,137,114,2021,"WISCONSIN"
"974","WYOMING, UNIVERSITY OF",20,14,0,6,34,28,2021,"WYOMING"
"975","YALE UNIVERSITY",157,83,1,34,241,207,2021,"CONNECTICUT"
"976","AKRON, UNIVERSITY OF",37,20,0,4,57,53,2022,"OHIO"
"977","ALABAMA, UNIVERSITY OF",63,33,0,17,96,79,2022,"ALABAMA"
"978","ALBANY LAW SCHOOL",50,40,1,14,91,77,2022,"NEW YORK"
"979","AMERICAN UNIVERSITY",126,133,0,53,259,206,2022,"DISTRICT OF COLUMBIA"
"980","APPALACHIAN SCHOOL OF LAW",14,7,3,2,24,22,2022,"VIRGINIA"
"981","ARIZONA STATE UNIVERSITY",149,68,0,39,217,178,2022,"ARIZONA"
"982","ARIZONA, UNIVERSITY OF",83,73,0,34,156,122,2022,"ARIZONA"
"983","ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",32,30,0,6,62,56,2022,"ARKANSAS"
"984","ARKANSAS, LITTLE ROCK, UNIVERSITY OF",46,41,0,13,87,74,2022,"ARKANSAS"
"985","ATLANTA'S JOHN MARSHALL LAW SCHOOL",17,18,0,7,35,28,2022,"GEORGIA"
"986","AVE MARIA SCHOOL OF LAW",20,13,0,3,33,30,2022,"FLORIDA"
"987","BALTIMORE, UNIVERSITY OF",91,70,0,26,161,135,2022,"MARYLAND"
"988","BARRY UNIVERSITY",37,32,0,20,69,49,2022,"FLORIDA"
"989","BAYLOR UNIVERSITY",118,58,0,17,176,159,2022,"TEXAS"
"990","BELMONT UNIVERSITY",37,17,0,9,54,45,2022,"TENNESSEE"
"991","BOSTON COLLEGE",86,90,0,26,177,151,2022,"MASSACHUSETTS"
"992","BOSTON UNIVERSITY",107,88,0,18,196,178,2022,"MASSACHUSETTS"
"993","BRIGHAM YOUNG UNIVERSITY",59,32,0,8,91,83,2022,"UTAH"
"994","BROOKLYN LAW SCHOOL",126,80,4,39,210,171,2022,"NEW YORK"
"995","CALIFORNIA WESTERN SCHOOL OF LAW",59,53,0,25,112,87,2022,"CALIFORNIA"
"996","CALIFORNIA-BERKELEY, UNIVERSITY OF",177,172,0,66,349,283,2022,"CALIFORNIA"
"997","CALIFORNIA-DAVIS, UNIVERSITY OF",63,58,0,38,121,83,2022,"CALIFORNIA"
"998","CALIFORNIA-IRVINE, UNIVERSITY OF",73,70,2,42,145,103,2022,"CALIFORNIA"
"999","CALIFORNIA-LOS ANGELES, UNIVERSITY OF",129,85,0,53,214,161,2022,"CALIFORNIA"
"1000","CAMPBELL UNIVERSITY",54,43,0,17,97,80,2022,"NORTH CAROLINA"
"1001","CAPITAL UNIVERSITY",52,27,0,13,79,66,2022,"OHIO"
"1002","CARDOZO SCHOOL OF LAW",166,146,0,40,312,272,2022,"NEW YORK"
"1003","CASE WESTERN RESERVE UNIVERSITY",75,39,0,12,114,102,2022,"OHIO"
"1004","CATHOLIC UNIVERSITY OF AMERICA",60,39,0,9,99,90,2022,"DISTRICT OF COLUMBIA"
"1005","CHAPMAN UNIVERSITY",60,47,0,18,107,89,2022,"CALIFORNIA"
"1006","CHARLESTON SCHOOL OF LAW",46,35,0,9,81,72,2022,"SOUTH CAROLINA"
"1007","CHICAGO, UNIVERSITY OF",127,55,0,33,182,149,2022,"ILLINOIS"
"1008","CHICAGO-KENT COLLEGE OF LAW-IIT",97,51,0,26,148,122,2022,"ILLINOIS"
"1009","CINCINNATI, UNIVERSITY OF",48,41,0,11,89,78,2022,"OHIO"
"1010","CITY UNIVERSITY OF NEW YORK",26,65,1,45,92,47,2022,"NEW YORK"
"1011","CLEVELAND STATE UNIVERSITY",55,38,0,12,93,81,2022,"OHIO"
"1012","COLORADO, UNIVERSITY OF",60,41,0,15,102,87,2022,"COLORADO"
"1013","COLUMBIA UNIVERSITY",229,174,0,73,403,330,2022,"NEW YORK"
"1014","CONNECTICUT, UNIVERSITY OF",93,58,0,21,151,130,2022,"CONNECTICUT"
"1015","CORNELL UNIVERSITY",118,77,1,25,196,171,2022,"NEW YORK"
"1016","CREIGHTON UNIVERSITY",39,26,0,8,65,57,2022,"NEBRASKA"
"1017","DAYTON, UNIVERSITY OF",50,49,0,19,99,80,2022,"OHIO"
"1018","DENVER, UNIVERSITY OF",91,70,1,20,162,142,2022,"COLORADO"
"1019","DEPAUL UNIVERSITY",68,65,4,36,137,101,2022,"ILLINOIS"
"1020","DETROIT MERCY, UNIVERSITY OF",44,45,0,14,89,75,2022,"MICHIGAN"
"1021","DISTRICT OF COLUMBIA",20,26,0,24,46,22,2022,"DISTRICT OF COLUMBIA"
"1022","DRAKE UNIVERSITY",38,40,0,12,78,66,2022,"IOWA"
"1023","DREXEL UNIVERSITY",67,66,0,27,133,106,2022,"PENNSYLVANIA"
"1024","DUKE UNIVERSITY",113,80,0,27,193,166,2022,"NORTH CAROLINA"
"1025","DUQUESNE UNIVERSITY",49,40,0,13,89,76,2022,"PENNSYLVANIA"
"1026","ELON UNIVERSITY",28,47,0,18,75,57,2022,"NORTH CAROLINA"
"1027","EMORY UNIVERSITY",98,95,0,41,193,152,2022,"GEORGIA"
"1028","FAULKNER UNIVERSITY",22,8,0,5,30,25,2022,"ALABAMA"
"1029","FLORIDA A&M UNIVERSITY",31,24,0,36,55,19,2022,"FLORIDA"
"1030","FLORIDA INTERNATIONAL UNIVERSITY",55,40,0,42,95,53,2022,"FLORIDA"
"1031","FLORIDA STATE UNIVERSITY",75,33,0,18,108,90,2022,"FLORIDA"
"1032","FLORIDA, UNIVERSITY OF",187,156,0,81,343,262,2022,"FLORIDA"
"1033","FORDHAM UNIVERSITY",218,163,0,50,381,331,2022,"NEW YORK"
"1034","GEORGE MASON UNIVERSITY",170,110,1,47,281,234,2022,"VIRGINIA"
"1035","GEORGE WASHINGTON UNIVERSITY",335,163,0,65,505,440,2022,"DISTRICT OF COLUMBIA"
"1036","GEORGETOWN UNIVERSITY",546,328,0,158,874,716,2022,"DISTRICT OF COLUMBIA"
"1037","GEORGIA STATE UNIVERSITY",78,71,0,27,149,122,2022,"GEORGIA"
"1038","GEORGIA, UNIVERSITY OF",66,45,0,19,111,92,2022,"GEORGIA"
"1039","GOLDEN GATE UNIVERSITY",59,62,0,22,121,99,2022,"CALIFORNIA"
"1040","GONZAGA UNIVERSITY",34,37,0,14,71,57,2022,"WASHINGTON"
"1041","HARVARD UNIVERSITY",212,135,0,76,347,271,2022,"MASSACHUSETTS"
"1042","HAWAII, UNIVERSITY OF",64,51,0,45,115,70,2022,"HAWAII"
"1043","HOFSTRA UNIVERSITY",73,54,0,12,127,115,2022,"NEW YORK"
"1044","HOUSTON, UNIVERSITY OF",142,84,0,44,226,182,2022,"TEXAS"
"1045","HOWARD UNIVERSITY",52,44,0,82,100,18,2022,"DISTRICT OF COLUMBIA"
"1046","IDAHO, UNIVERSITY OF",60,51,0,0,111,111,2022,"IDAHO"
"1047","ILLINOIS, UNIVERSITY OF",71,55,0,21,126,105,2022,"ILLINOIS"
"1048","INDIANA UNIVERSITY - BLOOMINGTON",64,48,0,20,112,92,2022,"INDIANA"
"1049","INDIANA UNIVERSITY - INDIANAPOLIS",90,80,0,25,170,145,2022,"INDIANA"
"1050","INTER AMERICAN UNIVERSITY OF PUERTO RICO",68,38,0,108,110,2,2022,"PUERTO RICO"
"1051","IOWA, UNIVERSITY OF",53,39,0,16,92,76,2022,"IOWA"
"1052","KANSAS, UNIVERSITY OF",46,29,0,10,75,65,2022,"KANSAS"
"1053","KENTUCKY, UNIVERSITY OF",33,33,0,6,66,60,2022,"KENTUCKY"
"1054","LEWIS AND CLARK COLLEGE",79,55,0,25,134,109,2022,"OREGON"
"1055","LIBERTY UNIVERSITY",22,13,0,8,35,27,2022,"VIRGINIA"
"1056","LINCOLN MEMORIAL",19,29,0,7,49,42,2022,"DISTRICT OF COLUMBIA"
"1057","LOUISIANA STATE UNIVERSITY",59,42,0,14,101,87,2022,"LOUISIANA"
"1058","LOUISVILLE, UNIVERSITY OF",37,25,0,11,62,51,2022,"KENTUCKY"
"1059","LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES",106,87,0,37,193,156,2022,"CALIFORNIA"
"1060","LOYOLA UNIVERSITY-CHICAGO",140,162,0,56,303,247,2022,"ILLINOIS"
"1061","LOYOLA UNIVERSITY-NEW ORLEANS",58,34,0,20,92,72,2022,"LOUISIANA"
"1062","MAINE, UNIVERSITY OF",36,33,2,5,71,66,2022,"MAINE"
"1063","MARQUETTE UNIVERSITY",76,49,0,10,125,115,2022,"WISCONSIN"
"1064","MARYLAND, UNIVERSITY OF",103,79,0,38,182,144,2022,"MARYLAND"
"1065","MCGEORGE SCHOOL OF LAW",60,48,0,32,108,76,2022,"CALIFORNIA"
"1066","MEMPHIS, UNIVERSITY OF",40,26,0,16,66,50,2022,"TENNESSEE"
"1067","MERCER UNIVERSITY",44,27,0,7,71,64,2022,"GEORGIA"
"1068","MIAMI, UNIVERSITY OF",246,135,0,95,381,286,2022,"FLORIDA"
"1069","MICHIGAN STATE UNIVERSITY",66,48,0,13,114,101,2022,"MICHIGAN"
"1070","MICHIGAN, UNIVERSITY OF",112,71,0,26,183,157,2022,"MICHIGAN"
"1071","MINNESOTA, UNIVERSITY OF",169,114,0,40,283,243,2022,"MINNESOTA"
"1072","MISSISSIPPI COLLEGE",25,22,0,10,47,37,2022,"MISSISSIPPI"
"1073","MISSISSIPPI, UNIVERSITY OF",42,29,0,8,71,63,2022,"MISSISSIPPI"
"1074","MISSOURI, UNIVERSITY OF",28,18,0,7,46,39,2022,"MISSOURI"
"1075","MISSOURI-KANSAS CITY, UNIVERSITY OF",68,50,0,11,118,107,2022,"MISSOURI"
"1076","MITCHELL | HAMLINE",69,90,0,22,159,137,2022,NA
"1077","MONTANA, UNIVERSITY OF",17,15,0,4,32,28,2022,"MONTANA"
"1078","NEBRASKA, UNIVERSITY OF",51,33,0,9,84,75,2022,"NEBRASKA"
"1079","NEW ENGLAND LAW | BOSTON",87,68,0,19,155,136,2022,"MASSACHUSETTS"
"1080","NEW HAMPSHIRE, UNIVERSITY OF",69,55,3,5,127,122,2022,"NEW HAMPSHIRE"
"1081","NEW MEXICO, UNIVERSITY OF",44,52,0,39,96,57,2022,"NEW MEXICO"
"1082","NEW YORK LAW SCHOOL",133,107,0,55,240,185,2022,"NEW YORK"
"1083","NEW YORK UNIVERSITY",239,137,0,64,376,312,2022,"NEW YORK"
"1084","NORTH CAROLINA CENTRAL UNIVERSITY",30,43,0,44,73,29,2022,"NORTH CAROLINA"
"1085","NORTH CAROLINA, UNIVERSITY OF",72,68,0,20,140,120,2022,"NORTH CAROLINA"
"1086","NORTH DAKOTA, UNIVERSITY OF",15,15,0,2,30,28,2022,"NORTH DAKOTA"
"1087","NORTHEASTERN UNIVERSITY SCHOOL OF LAW",63,54,1,25,119,94,2022,NA
"1088","NORTHERN ILLINOIS UNIVERSITY",31,22,0,12,53,41,2022,"ILLINOIS"
"1089","NORTHERN KENTUCKY UNIVERSITY",43,25,0,9,68,59,2022,"KENTUCKY"
"1090","NORTHWESTERN UNIVERSITY",148,89,0,40,237,197,2022,"ILLINOIS"
"1091","NOTRE DAME, UNIVERSITY OF",93,40,2,18,135,117,2022,"INDIANA"
"1092","NOVA SOUTHEASTERN UNIVERSITY",38,53,0,28,91,63,2022,"FLORIDA"
"1093","OHIO NORTHERN UNIVERSITY",16,7,0,2,23,21,2022,"OHIO"
"1094","OHIO STATE UNIVERSITY",87,61,0,18,148,130,2022,"OHIO"
"1095","OKLAHOMA CITY UNIVERSITY",46,41,0,18,87,69,2022,"OKLAHOMA"
"1096","OKLAHOMA, UNIVERSITY OF",44,28,0,12,72,60,2022,"OKLAHOMA"
"1097","OREGON, UNIVERSITY OF",37,50,0,15,87,72,2022,"OREGON"
"1098","PACE UNIVERSITY",72,63,1,19,136,117,2022,"NEW YORK"
"1099","PENNSYLVANIA STATE - DICKINSON LAW",26,26,1,17,53,36,2022,"PENNSYLVANIA"
"1100","PENNSYLVANIA STATE - PENN STATE LAW",45,32,1,13,78,65,2022,"PENNSYLVANIA"
"1101","PENNSYLVANIA, UNIVERSITY OF",161,114,13,63,288,225,2022,"PENNSYLVANIA"
"1102","PEPPERDINE UNIVERSITY",93,41,0,29,134,105,2022,"CALIFORNIA"
"1103","PITTSBURGH, UNIVERSITY OF",97,48,0,16,145,129,2022,"PENNSYLVANIA"
"1104","PONTIFICAL CATHOLIC UNIVERSITY OF P.R.",51,27,0,78,78,0,2022,"PUERTO RICO"
"1105","PUERTO RICO, UNIVERSITY OF",75,51,0,121,126,5,2022,"PUERTO RICO"
"1106","QUINNIPIAC UNIVERSITY",73,56,0,16,129,113,2022,"CONNECTICUT"
"1107","REGENT UNIVERSITY",51,18,0,12,69,57,2022,"VIRGINIA"
"1108","RICHMOND, UNIVERSITY OF",65,60,0,18,125,107,2022,"VIRGINIA"
"1109","ROGER WILLIAMS UNIVERSITY",47,44,0,12,91,79,2022,"RHODE ISLAND"
"1110","RUTGERS UNIVERSITY",113,92,0,43,205,162,2022,"NEW JERSEY"
"1111","SAINT LOUIS UNIVERSITY",60,58,0,18,118,100,2022,"MISSOURI"
"1112","SAMFORD UNIVERSITY",46,32,0,11,80,69,2022,"ALABAMA"
"1113","SAN DIEGO, UNIVERSITY OF",89,59,0,24,148,124,2022,"CALIFORNIA"
"1114","SAN FRANCISCO, UNIVERSITY OF",37,38,0,19,75,56,2022,"CALIFORNIA"
"1115","SANTA CLARA UNIVERSITY",66,72,2,30,141,111,2022,"CALIFORNIA"
"1116","SEATTLE UNIVERSITY",83,74,0,41,157,116,2022,"WASHINGTON"
"1117","SETON HALL UNIVERSITY",82,62,2,26,146,120,2022,"NEW JERSEY"
"1118","SOUTH CAROLINA, UNIVERSITY OF",79,48,0,21,127,106,2022,"SOUTH CAROLINA"
"1119","SOUTH DAKOTA, UNIVERSITY OF",20,20,0,4,40,36,2022,"SOUTH DAKOTA"
"1120","SOUTH TEXAS COLLEGE OF LAW HOUSTON",70,43,0,19,113,94,2022,"TEXAS"
"1121","SOUTHERN CALIFORNIA, UNIVERSITY OF",110,71,0,32,181,149,2022,"CALIFORNIA"
"1122","SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE",18,23,0,6,41,35,2022,"ILLINOIS"
"1123","SOUTHERN METHODIST UNIVERSITY",98,47,0,22,145,123,2022,"TEXAS"
"1124","SOUTHERN UNIVERSITY",75,91,0,120,166,46,2022,"LOUISIANA"
"1125","SOUTHWESTERN LAW SCHOOL",87,80,0,47,167,120,2022,"CALIFORNIA"
"1126","ST. JOHN'S UNIVERSITY",88,78,0,28,166,138,2022,"NEW YORK"
"1127","ST. MARY'S UNIVERSITY",72,31,0,27,104,77,2022,"TEXAS"
"1128","ST. THOMAS UNIVERSITY (FLORIDA)",61,41,0,33,102,69,2022,"FLORIDA"
"1129","ST. THOMAS, UNIVERSITY OF (MINNESOTA)",92,65,0,28,157,129,2022,"MINNESOTA"
"1130","STANFORD UNIVERSITY",110,76,0,37,186,149,2022,"CALIFORNIA"
"1131","STETSON UNIVERSITY",93,84,3,33,180,147,2022,"FLORIDA"
"1132","SUFFOLK UNIVERSITY",93,65,0,27,158,131,2022,"MASSACHUSETTS"
"1133","SYRACUSE UNIVERSITY",53,35,0,12,88,76,2022,"NEW YORK"
"1134","TEMPLE UNIVERSITY",116,99,0,40,216,176,2022,"PENNSYLVANIA"
"1135","TENNESSEE, UNIVERSITY OF",58,40,0,16,98,82,2022,"TENNESSEE"
"1136","TEXAS A&M UNIVERSITY",70,49,0,19,119,100,2022,"TEXAS"
"1137","TEXAS AT AUSTIN, UNIVERSITY OF",214,93,0,34,307,273,2022,"TEXAS"
"1138","TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW",39,53,0,76,92,16,2022,NA
"1139","TEXAS TECH UNIVERSITY",37,21,0,7,58,51,2022,"TEXAS"
"1140","COOLEY LAW SCHOOL",78,63,0,29,141,112,2022,NA
"1141","TOLEDO, UNIVERSITY OF",22,20,0,3,42,39,2022,"OHIO"
"1142","TOURO UNIVERSITY",41,45,0,16,86,70,2022,"NEW YORK"
"1143","TULANE UNIVERSITY",76,46,0,17,122,105,2022,"LOUISIANA"
"1144","TULSA, UNIVERSITY OF",26,27,0,14,53,39,2022,"OKLAHOMA"
"1145","UNIVERSITY OF BUFFALO-SUNY",53,44,0,9,97,88,2022,"NEW YORK"
"1146","UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",148,108,0,63,256,193,2022,"CALIFORNIA"
"1147","UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW",95,82,0,53,177,124,2022,"ILLINOIS"
"1148","UNIVERSITY OF MASSACHUSETTS DARTMOUTH",35,25,0,11,60,49,2022,"MASSACHUSETTS"
"1149","UNIVERSITY OF NEVADA - LAS VEGAS",45,50,0,18,95,77,2022,"NEVADA"
"1150","UTAH, UNIVERSITY OF",62,44,1,22,107,85,2022,"UTAH"
"1151","VANDERBILT UNIVERSITY",83,56,0,19,139,120,2022,"TENNESSEE"
"1152","VERMONT LAW SCHOOL",73,92,1,20,166,146,2022,"VERMONT"
"1153","VILLANOVA UNIVERSITY",61,56,0,15,117,102,2022,"PENNSYLVANIA"
"1154","VIRGINIA, UNIVERSITY OF",163,82,0,31,245,214,2022,"VIRGINIA"
"1155","WAKE FOREST UNIVERSITY",60,49,0,22,109,87,2022,"NORTH CAROLINA"
"1156","WASHBURN UNIVERSITY",34,30,0,12,64,52,2022,"KANSAS"
"1157","WASHINGTON AND LEE UNIVERSITY",59,30,0,12,89,77,2022,"VIRGINIA"
"1158","WASHINGTON UNIVERSITY",96,73,0,26,169,143,2022,"MISSOURI"
"1159","WASHINGTON, UNIVERSITY OF",93,68,0,30,161,131,2022,"WASHINGTON"
"1160","WAYNE STATE UNIVERSITY",51,47,0,19,98,79,2022,"MICHIGAN"
"1161","WEST VIRGINIA UNIVERSITY",36,28,0,6,64,58,2022,"WEST VIRGINIA"
"1162","WESTERN NEW ENGLAND UNIVERSITY",30,37,0,9,69,60,2022,"MASSACHUSETTS"
"1163","WESTERN STATE COLLEGE OF LAW",29,16,0,14,45,31,2022,"CALIFORNIA"
"1164","WIDENER UNIVERSITY-DELAWARE",44,40,0,7,84,77,2022,"DELAWARE"
"1165","WIDENER-COMMONWEALTH",35,26,0,4,61,57,2022,"PENNSYLVANIA"
"1166","WILLAMETTE UNIVERSITY",30,24,0,9,55,46,2022,"OREGON"
"1167","WILLIAM AND MARY LAW SCHOOL",106,52,0,14,162,148,2022,"VIRGINIA"
"1168","WISCONSIN, UNIVERSITY OF",81,65,0,26,146,120,2022,"WISCONSIN"
"1169","WYOMING, UNIVERSITY OF",24,12,0,7,36,29,2022,"WYOMING"
"1170","YALE UNIVERSITY",165,95,0,45,260,215,2022,"CONNECTICUT"
"1171","AKRON, UNIVERSITY OF",39,31,0,6,70,64,2023,"OHIO"
"1172","ALABAMA, UNIVERSITY OF",62,35,0,18,97,79,2023,"ALABAMA"
"1173","ALBANY LAW SCHOOL",49,49,0,16,99,83,2023,"NEW YORK"
"1174","AMERICAN UNIVERSITY",152,141,0,78,293,215,2023,"DISTRICT OF COLUMBIA"
